dataset,split,clip_id,frame_pkls,pose_dir,first_frame_pkl
CSL-Daily-Fittings,train,S000885_P0004_T00,148,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S000885_P0004_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S000885_P0004_T00/000000.pkl
CSL-Daily-Fittings,train,S003456_P0000_T00,122,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S003456_P0000_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S003456_P0000_T00/000000.pkl
CSL-Daily-Fittings,train,S000121_P0008_T00,228,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S000121_P0008_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S000121_P0008_T00/000000.pkl
CSL-Daily-Fittings,train,S005099_P0009_T00,37,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S005099_P0009_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S005099_P0009_T00/000000.pkl
CSL-Daily-Fittings,train,S005468_P0006_T00,64,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S005468_P0006_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S005468_P0006_T00/000000.pkl
CSL-Daily-Fittings,val,S003206_P0002_T00,80,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S003206_P0002_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S003206_P0002_T00/000000.pkl
CSL-Daily-Fittings,train,S001262_P0008_T00,134,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001262_P0008_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001262_P0008_T00/000000.pkl
CSL-Daily-Fittings,train,S001226_P0004_T00,117,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001226_P0004_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001226_P0004_T00/000000.pkl
CSL-Daily-Fittings,train,S001312_P0000_T00,133,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001312_P0000_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001312_P0000_T00/000000.pkl
CSL-Daily-Fittings,train,S001939_P0004_T00,183,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001939_P0004_T00,/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001939_P0004_T00/000000.pkl
PHOENIX,train,23December_2010_Thursday_tagesschau-1439,144,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/23December_2010_Thursday_tagesschau-1439,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/23December_2010_Thursday_tagesschau-1439/images0004.pkl
PHOENIX,train,30January_2013_Wednesday_tagesschau-467,58,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/30January_2013_Wednesday_tagesschau-467,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/30January_2013_Wednesday_tagesschau-467/images0005.pkl
PHOENIX,train,04January_2011_Tuesday_tagesschau-1064,99,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/04January_2011_Tuesday_tagesschau-1064,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/04January_2011_Tuesday_tagesschau-1064/images0005.pkl
PHOENIX,train,15July_2011_Friday_tagesschau-8723,63,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/15July_2011_Friday_tagesschau-8723,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/15July_2011_Friday_tagesschau-8723/images0003.pkl
PHOENIX,train,19January_2011_Wednesday_heute-2689,171,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/19January_2011_Wednesday_heute-2689,/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/19January_2011_Wednesday_heute-2689/images0001.pkl
