path,type,keys,smplx_root_pose_shape,smplx_root_pose_dtype,smplx_body_pose_shape,smplx_body_pose_dtype,smplx_lhand_pose_shape,smplx_lhand_pose_dtype,smplx_rhand_pose_shape,smplx_rhand_pose_dtype,smplx_jaw_pose_shape,smplx_jaw_pose_dtype,smplx_shape_shape,smplx_shape_dtype,smplx_expr_shape,smplx_expr_dtype,cam_trans_shape,cam_trans_dtype,dataset,split,clip_id,smplx_joint_proj_shape,smplx_joint_proj_dtype,lhand_bbox_shape,lhand_bbox_dtype,rhand_bbox_shape,rhand_bbox_dtype,face_bbox_shape,face_bbox_dtype
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S000885_P0004_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S000885_P0004_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S003456_P0000_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S003456_P0000_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S000121_P0008_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S000121_P0008_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S005099_P0009_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S005099_P0009_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S005468_P0006_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S005468_P0006_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S003206_P0002_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,val,S003206_P0002_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001262_P0008_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S001262_P0008_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001226_P0004_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S001226_P0004_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001312_P0000_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S001312_P0000_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/CSL-Daily-Fittings/csl-daily_pose/csl-daily_pose/S001939_P0004_T00/000000.pkl,dict,"smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,CSL-Daily-Fittings,train,S001939_P0004_T00,,,,,,,,
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/23December_2010_Thursday_tagesschau-1439/images0004.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,23December_2010_Thursday_tagesschau-1439,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
/home/cem/tez/exp/DATA/SOKE_DATA/phoenix_poses/train/30January_2013_Wednesday_tagesschau-467/images0005.pkl,dict,"smplx_joint_proj, smplx_root_pose, smplx_body_pose, smplx_lhand_pose, smplx_rhand_pose, smplx_jaw_pose, smplx_shape, smplx_expr, cam_trans, lhand_bbox, rhand_bbox, face_bbox","(3,)",float32,"(63,)",float32,"(45,)",float32,"(45,)",float32,"(3,)",float32,"(10,)",float32,"(10,)",float32,"(3,)",float32,PHOENIX,train,30January_2013_Wednesday_tagesschau-467,"(137, 2)",float32,"(4,)",float32,"(4,)",float32,"(4,)",float32
