dataset,split,status,reason,clips
CSL-Daily-Fittings,test,bad,nb51_too_short_after_20fps,339
CSL-Daily-Fittings,test,ok,built,837
CSL-Daily-Fittings,train,bad,nb51_too_short_after_20fps,6381
CSL-Daily-Fittings,train,bad,soke_too_short_lt4_source_frames,2
CSL-Daily-Fittings,train,ok,built,12018
CSL-Daily-Fittings,val,bad,nb51_too_short_after_20fps,329
CSL-Daily-Fittings,val,ok,built,748
Neural-Sign-Actors,test,bad,nb51_too_short_after_20fps,676
Neural-Sign-Actors,test,bad,soke_bad_how2sign_id,2
Neural-Sign-Actors,test,bad,soke_how2sign_duration_ge_max,20
Neural-Sign-Actors,test,ok,built,1620
Neural-Sign-Actors,train,bad,nb51_too_short_after_20fps,8649
Neural-Sign-Actors,train,bad,soke_bad_how2sign_id,27
Neural-Sign-Actors,train,bad,soke_how2sign_duration_ge_max,235
Neural-Sign-Actors,train,ok,built,22054
Neural-Sign-Actors,val,bad,nb51_too_short_after_20fps,503
Neural-Sign-Actors,val,bad,soke_bad_how2sign_id,2
Neural-Sign-Actors,val,bad,soke_how2sign_duration_ge_max,9
Neural-Sign-Actors,val,ok,built,1210
PHOENIX,dev,bad,nb51_too_short_after_20fps,151
PHOENIX,dev,ok,built,368
PHOENIX,test,bad,nb51_too_short_after_20fps,219
PHOENIX,test,ok,built,423
PHOENIX,train,bad,nb51_too_short_after_20fps,1740
PHOENIX,train,ok,built,5352
